25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ####d###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #..g...#
  #..@....#      #......#
  #.......#      #....b.#
  #.......#      #......#
  #...w.k.#      #......#
  #.......#      #......#
  #.......#      #......#
  #########      ########
